"Campaign name",Age,Gender,Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","Clicks (all)","Reporting starts","Reporting ends"
"31 December Engagement campaign",35-44,female,2024-12-31,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",6,423,447,0.06666667,-,-,-,0.4,6,2024-12-31,2024-12-31
"31 December Engagement campaign",25-34,male,2024-12-31,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,685,715,0.245,-,-,-,0.49,13,2024-12-31,2024-12-31
"31 December Engagement campaign",45-54,male,2024-12-31,completed,campaign,,"7-day click or 1-day view",,,57,72,,-,-,-,0.05,0,2024-12-31,2024-12-31
"31 December Engagement campaign",55-64,male,2024-12-31,completed,campaign,,"7-day click or 1-day view",,,18,22,,-,-,-,0.03,0,2024-12-31,2024-12-31
"31 December Engagement campaign",45-54,unknown,2024-12-31,completed,campaign,,"7-day click or 1-day view",,,1,1,,-,-,-,0,0,2024-12-31,2024-12-31
"31 December Engagement campaign",18-24,unknown,2024-12-31,completed,campaign,,"7-day click or 1-day view",,,8,10,,-,-,-,0,0,2024-12-31,2024-12-31
"31 December Engagement campaign",25-34,unknown,2024-12-31,completed,campaign,,"7-day click or 1-day view",,,4,5,,-,-,-,0,0,2024-12-31,2024-12-31
"31 December Engagement campaign",65+,male,2024-12-31,completed,campaign,,"7-day click or 1-day view",,,20,25,,-,-,-,0.04,1,2024-12-31,2024-12-31
"31 December Engagement campaign",55-64,female,2024-12-31,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,60,61,0.06,-,-,-,0.06,2,2024-12-31,2024-12-31
"31 December Engagement campaign",35-44,male,2024-12-31,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,168,168,0.15,-,-,-,0.15,3,2024-12-31,2024-12-31
